claim_id,role,claim,estimate,denominator,source_artifact,interpretation_boundary
C18,representation_support,"WavLM also failed to transport","AUROC 0.8116 to 0.4837; AUPRC 0.7341 to 0.0319","316 Coswara test; 8331 COUGHVID","reports/tables/reviewer_external_model_family_transfer_summary.csv","Supporting architecture check; training recipe differs from engineered models"
C19,representation_support,"CNN-BiGRU also failed to transport","AUROC 0.7369 to 0.5484; AUPRC 0.5744 to 0.0438","636 Coswara test recordings; 8331 COUGHVID recording UUIDs","reports/tables/reviewer_external_model_family_transfer_summary.csv","Supporting recording-level architecture check; source split remains participant-disjoint but metrics were not participant-aggregated"
C20,label_agreement,"At sensitivity at least 0.90 against status_SSL, external specificity was low","0.112 to 0.161","8331 COUGHVID recording UUIDs","reports/tables/final_validation_fixed_sensitivity_operating_points.csv","Descriptive agreement with a semi-supervised pseudo-label, not clinical sensitivity or specificity"
C21,label_agreement,"At sensitivity at least 0.90 against status_SSL, external precision was near positive-label prevalence","precision 0.0347 to 0.0367; prevalence 0.0342","8331 COUGHVID recording UUIDs","reports/tables/final_validation_fixed_sensitivity_operating_points.csv","Descriptive pseudo-label operating-point analysis, not clinical PPV"
C22,recalibration,"Target-domain Platt scaling improved probability calibration but not ranking","LightGBM AUROC 0.5391 unchanged; Brier 0.0756 to 0.0330; ECE 0.0992 to 0.00017","2082 calibration; 6249 evaluation","reports/tables/coughvid_partial_recalibration_metrics.csv","Target calibration and evaluation subsets were separate; not a deployable unsupervised correction"
C23,temporal_support,"A retrospective early-to-late stress test yielded lower discrimination","AUROC 0.6980; Brier 0.6496; ECE 0.7113","411 Coswara test participants","reports/tables/compare_is10_final_validation_summary.csv","Different modality/model from the internal headline and therefore not a controlled pair"
C24,temporal_support,"The temporal estimate was stable over three seeds","AUROC 0.6908 +/- 0.0066","3 seeds","reports/tables/compare_is10_multiseed_stability_summary.csv","Does not remove the feature-selection provenance limitation"
C25,temporal_support,"The temporal cohorts differed markedly in prevalence","train 0.0789; validation 0.5687; test 0.8042","1268; 422; 424 participants","reports/tables/compare_is10_final_validation_split_summary.csv","High temporal AUPRC is not evidence of strong transport because the test prevalence is 0.804"
C26,nonstationarity,"Early and late feature rankings had low overlap","110 shared of 1490 unique; Jaccard 0.0738","top 800 per period","reports/tables/reviewer_feature_selection_stability.csv","Exploratory; periods also differ in class prevalence and recruitment"
C27,context,"Collection-context metadata predicted source labels strongly","AUROC 0.9638","source participant evaluation","reports/tables/metadata_confounding_shuffle_retrain_sanity.csv","Association does not identify a causal shortcut in the audio model"
C28,negative_control,"Retraining the metadata model after label permutation removed discrimination","mean AUROC 0.5033; 95% permutation range 0.4646 to 0.5590","20 permutations","reports/tables/metadata_confounding_shuffle_retrain_sanity.csv","Sanity check against implementation leakage"
C29,context,"Recording-protocol variables dominated grouped metadata permutation importance","importance share 0.7169 to 0.9343; recording year largest","two metadata configurations","reports/tables/metadata_confounding_permutation_group_summary.csv","Permutation importance is predictive attribution, not a causal effect"
C30,domain,"A source-versus-target classifier distinguished the datasets","AUROC 0.7504","2861 source; 8331 external","reports/tables/reviewer_support_overlap_positivity.csv","Exploratory evidence of covariate shift"
C31,domain,"One quarter of external samples were outside the source probability band","fraction 0.2516","8331 external recording-level observations","reports/tables/reviewer_support_overlap_positivity.csv","Probability-band diagnostic, not a formal proof of positivity violation"
C32,incremental,"Symptoms plus the best aligned audio candidate exceeded symptoms alone numerically","AUROC 0.9509 vs 0.8882; delta 0.0627","61 complete-case test participants","data/outputs/metrics/reviewer_incremental_audio_metadata_metrics.csv","95% bootstrap CI -0.0051 to 0.1491; DeLong p=0.104; exploratory and inconclusive"
C33,incremental,"Adding selected-fusion audio to full context metadata provided little incremental discrimination","AUROC 0.9328 vs 0.9238; delta 0.0090","61 complete-case test participants","data/outputs/metrics/reviewer_incremental_audio_metadata_metrics.csv","95% bootstrap CI -0.0264 to 0.0403; DeLong p=0.538; exploratory"
C34,label_boundary,"Coswara and COUGHVID binary outcomes were not assumed to have identical clinical semantics","operational source-specific labels","both datasets","reports/final/LABEL_CONSTRUCTION_AUDIT.md","External findings are dataset-transfer results, not transport between identical diagnostic reference standards"
C35,scope,"Primary external claims concern cough only","COUGHVID has no breath or speech inputs","8331 external cough recordings","reports/tables/reviewer_external_model_family_transfer_summary.csv","The study does not externally validate multimodal fusion"
C36,protocol,"The participant and temporal protocols used the reported cohort sizes and cut dates","participant split 1479/317/318; time-stratified 1258/412/444; temporal 1268/422/424","2114 known-label Coswara participants before complete-case filtering","reports/tables/compare_is10_final_validation_split_summary.csv","Complete-case model denominators can be smaller than protocol assignment counts"
C37,source_support,"The selected source multimodal fusion had the reported threshold metrics","balanced accuracy 0.8247; F1 0.7522; AUROC 0.8971; AUPRC 0.8627","314 complete-case test participants","reports/tables/compare_is10_final_validation_summary.csv","Source-only cough+speech fusion; not directly comparable with cough-only external transfer"
C38,source_support,"The time-stratified source fusion had the reported performance","AUROC 0.8493; AUPRC 0.7830; ECE 0.0454","431 complete-case test participants","reports/tables/compare_is10_final_validation_summary.csv","Different selected modalities and fusion from the source headline"
C39,temporal_support,"The temporal test AUPRC was high relative to its very high prevalence","AUPRC 0.8964; prevalence 0.8042","411 complete-case model participants; 424 assigned test participants","reports/tables/compare_is10_final_validation_summary.csv","AUPRC must be interpreted against prevalence and not compared directly across endpoints"
C40,context,"Symptoms and protocol/demographic metadata separately predicted source labels","symptoms AUROC 0.9317; demographic/protocol AUROC 0.9138","source participant evaluation","reports/tables/metadata_confounding_shuffle_retrain_sanity.csv","Predictive association does not establish direct use by an audio model"
C41,context,"Full-context grouped permutation attribution was concentrated in recording protocol","recording protocol 0.7169; symptoms 0.1850; comorbidity 0.0518; demographics 0.0463","63 metadata predictors","reports/tables/metadata_confounding_permutation_group_summary.csv","Grouped permutation importance is descriptive predictive attribution"
C42,incremental,"The audio-only candidate in the symptoms-aligned incremental analysis had lower point discrimination than the combined model","audio AUROC 0.8178; combined AUROC 0.9509","61 complete-case test participants","data/outputs/metrics/reviewer_incremental_audio_metadata_metrics.csv","Exploratory small-sample comparison; combined-minus-metadata interval included zero"
C43,label_boundary,"The processed COUGHVID binary endpoint was bound to status_SSL","285 positive; 8046 negative; zero disagreement in the binding check","8331 COUGHVID recording UUIDs","src/covid_rars/hst_coughvid_metadata.py","status_SSL is a semi-supervised pseudo-label rather than a harmonized clinical reference standard"
